Datetime;Resolution code;Quality status;ACE;System imbalance;Alpha;Alpha';Marginal incremental price;Marginal decremental price;Imbalance Price
2025-10-29T15:30:00+01:00;PT15M;DataIssue;14.501;43.428;0.0;0.0;130.0;64.691;64.691
2025-10-29T15:15:00+01:00;PT15M;DataIssue;46.885;26.351;0.0;0.0;111.52;98.147;98.147
2025-10-29T15:00:00+01:00;PT15M;DataIssue;78.974;121.418;0.0;0.0;100.15;-149.883;-149.883
2025-10-29T14:45:00+01:00;PT15M;DataIssue;28.473;19.946;0.0;0.0;88.19;84.095;84.095
2025-10-29T14:30:00+01:00;PT15M;NotValidated;-14.966;-30.496;0.0;0.0;126.867;80.0;126.867
2025-10-29T14:15:00+01:00;PT15M;NotValidated;2.161;11.866;0.0;0.0;173.255;85.82;85.82
2025-10-29T14:00:00+01:00;PT15M;NotValidated;-12.086;-5.861;0.0;0.0;83.53;18.726;83.53
2025-10-29T13:45:00+01:00;PT15M;NotValidated;34.759;45.004;0.0;0.0;96.151;80.0;80.0
2025-10-29T13:30:00+01:00;PT15M;NotValidated;-27.681;-50.249;0.0;0.0;139.93;80.0;139.93
2025-10-29T13:15:00+01:00;PT15M;NotValidated;-9.073;16.539;0.0;0.0;98.08;82.145;82.145
2025-10-29T13:00:00+01:00;PT15M;NotValidated;-5.503;51.975;0.0;0.0;95.72;80.0;80.0
2025-10-29T12:45:00+01:00;PT15M;NotValidated;-45.316;-41.012;0.0;0.0;148.172;80.0;148.172
2025-10-29T12:30:00+01:00;PT15M;NotValidated;-28.538;66.008;0.0;0.0;114.631;80.0;80.0
2025-10-29T12:15:00+01:00;PT15M;NotValidated;-17.982;81.2;0.0;0.0;94.779;80.0;80.0
2025-10-29T12:00:00+01:00;PT15M;NotValidated;-2.477;1.957;0.0;0.0;122.36;78.95;78.95
2025-10-29T11:45:00+01:00;PT15M;NotValidated;-57.667;-76.783;0.0;0.0;177.419;66.59;177.419
2025-10-29T11:30:00+01:00;PT15M;NotValidated;-63.884;-31.058;0.0;0.0;169.877;49.0;169.877
2025-10-29T11:15:00+01:00;PT15M;NotValidated;-53.23;6.363;0.0;0.0;119.271;71.18;71.18
2025-10-29T11:00:00+01:00;PT15M;NotValidated;-25.166;-43.282;0.0;0.0;111.522;55.3;111.522
2025-10-29T10:45:00+01:00;PT15M;NotValidated;-2.031;46.03;0.0;0.0;80.0;52.9;52.9
2025-10-29T10:30:00+01:00;PT15M;NotValidated;-2.954;-15.876;0.0;0.0;67.85;55.7;67.85
2025-10-29T10:15:00+01:00;PT15M;NotValidated;-27.873;56.665;0.0;0.0;108.431;51.0;51.0
2025-10-29T10:00:00+01:00;PT15M;NotValidated;-6.364;-23.887;0.0;0.0;68.68;57.36;68.68
2025-10-29T09:45:00+01:00;PT15M;NotValidated;-3.332;-44.177;0.0;0.0;80.0;56.6;80.0
2025-10-29T09:30:00+01:00;PT15M;NotValidated;9.242;-136.176;0.0;0.0;76.99;47.844;76.99
2025-10-29T09:15:00+01:00;PT15M;NotValidated;3.059;-119.214;0.0;0.0;77.15;50.0;77.15
2025-10-29T09:00:00+01:00;PT15M;NotValidated;4.012;-193.224;1.603;0.0;76.41;50.3;78.013
2025-10-29T08:45:00+01:00;PT15M;NotValidated;-1.794;-80.36;0.0;0.0;80.0;51.5;80.0
2025-10-29T08:30:00+01:00;PT15M;NotValidated;-0.253;-67.937;0.0;0.0;80.0;51.7;80.0
2025-10-29T08:15:00+01:00;PT15M;NotValidated;1.633;-44.502;0.0;0.0;80.0;51.8;80.0
2025-10-29T08:00:00+01:00;PT15M;NotValidated;34.239;-133.993;0.0;0.0;80.0;56.6;80.0
2025-10-29T07:45:00+01:00;PT15M;NotValidated;31.502;-84.185;0.0;0.0;97.62;32.185;97.62
2025-10-29T07:30:00+01:00;PT15M;NotValidated;35.43;-98.745;0.0;0.0;98.72;-23.845;98.72
2025-10-29T07:15:00+01:00;PT15M;DataIssue;20.645;-68.91;0.0;0.0;100.7;54.516;100.7
2025-10-29T07:00:00+01:00;PT15M;DataIssue;8.188;31.769;0.0;0.0;94.24;53.48;53.48
2025-10-29T06:45:00+01:00;PT15M;NotValidated;0.876;89.14;0.0;0.0;91.18;50.675;50.675
2025-10-29T06:30:00+01:00;PT15M;DataIssue;16.639;46.339;0.0;0.0;89.32;22.808;22.808
2025-10-29T06:15:00+01:00;PT15M;DataIssue;-15.938;164.848;2.493;0.0;83.95;26.384;23.891
2025-10-29T06:00:00+01:00;PT15M;NotValidated;-47.75;166.743;0.965;0.0;76.51;49.0;48.035
2025-10-29T05:45:00+01:00;PT15M;DataIssue;1.579;40.536;0.0;0.0;78.94;9.036;9.036
2025-10-29T05:30:00+01:00;PT15M;DataIssue;0.289;35.868;0.0;0.0;86.51;58.7;58.7
2025-10-29T05:15:00+01:00;PT15M;NotValidated;-0.722;69.788;0.0;0.0;75.51;60.0;60.0
2025-10-29T05:00:00+01:00;PT15M;NotValidated;2.64;115.0;0.0;0.0;72.97;46.921;46.921
2025-10-29T04:45:00+01:00;PT15M;DataIssue;8.974;-49.499;0.0;0.0;71.8;6.909;71.8
2025-10-29T04:30:00+01:00;PT15M;NotValidated;1.201;-33.293;0.0;0.0;79.0;32.76;79.0
2025-10-29T04:15:00+01:00;PT15M;NotValidated;-1.274;-100.377;0.0;0.0;60.0;49.0;60.0
2025-10-29T04:00:00+01:00;PT15M;NotValidated;4.881;7.916;0.0;0.0;60.0;54.5;54.5
2025-10-29T03:45:00+01:00;PT15M;NotValidated;1.523;-19.984;0.0;0.0;54.5;33.33;54.5
2025-10-29T03:30:00+01:00;PT15M;DataIssue;-12.13;32.163;0.0;0.0;70.8;-9.501;-9.501
2025-10-29T03:15:00+01:00;PT15M;NotValidated;38.239;4.691;0.0;0.0;60.5;54.75;54.75
2025-10-29T03:00:00+01:00;PT15M;DataIssue;28.477;130.973;0.0;0.0;71.2;11.415;11.415
2025-10-29T02:45:00+01:00;PT15M;NotValidated;-4.436;34.974;0.0;0.0;69.6;47.662;47.662
2025-10-29T02:30:00+01:00;PT15M;NotValidated;10.953;-8.906;0.0;0.0;60.1;32.525;60.1
2025-10-29T02:15:00+01:00;PT15M;NotValidated;24.069;-120.819;0.0;0.0;71.36;25.594;71.36
2025-10-29T02:00:00+01:00;PT15M;NotValidated;18.176;-187.89;2.461;0.0;71.82;39.242;74.281
2025-10-29T01:45:00+01:00;PT15M;NotValidated;43.239;-142.036;0.0;0.0;72.4;18.284;72.4
2025-10-29T01:30:00+01:00;PT15M;NotValidated;-10.552;36.432;0.0;0.0;77.69;43.026;43.026
2025-10-29T01:15:00+01:00;PT15M;NotValidated;17.521;-74.955;0.0;0.0;72.43;33.827;72.43
2025-10-29T01:00:00+01:00;PT15M;NotValidated;1.743;-39.428;0.0;0.0;79.5;50.0;79.5
2025-10-29T00:45:00+01:00;PT15M;NotValidated;26.563;-87.922;0.0;0.0;79.92;52.09;79.92
2025-10-29T00:30:00+01:00;PT15M;NotValidated;3.215;-79.969;0.0;0.0;79.92;50.228;79.92
2025-10-29T00:15:00+01:00;PT15M;NotValidated;1.93;-83.612;0.0;0.0;80.0;23.966;80.0
2025-10-29T00:00:00+01:00;PT15M;NotValidated;11.516;-88.902;0.0;0.0;80.0;21.844;80.0
